   719324.186576077      ,   248294.113273059     
   727664.583747459      ,   251922.533508434     
   735997.457910416      ,   255549.440171983     
   744322.802952549      ,   259174.832740170     
   752640.612773092      ,   262798.710691549     
   760950.881282868      ,   266421.073506701     
   769253.602404288      ,   270041.920668241     
   777548.770071318      ,   273661.251660811     
   785836.378229457      ,   277279.065971041     
   794116.420835721      ,   280895.363087526     
   802388.891858652      ,   284510.142500826     
   810653.785278271      ,   288123.403703414     
   818911.095086059      ,   291735.146189695     
   827160.815284976      ,   295345.369455966     
   835402.939889404      ,   298954.073000395     
   843637.462925153      ,   302561.256323022     
   851864.378429484      ,   306166.918925706     
   860083.680451055      ,   309771.060312130     
   868295.363049928      ,   313373.679987821     
   876499.420297572      ,   316974.777460075     
   884695.846276831      ,   320574.352237931     
   892884.635081951      ,   324172.403832233     
   901065.780818582      ,   327768.931755561     
   909239.277603740      ,   331363.935522199     
   917405.119565836      ,   334957.414648168     
   925563.300844687      ,   338549.368651223     
   933713.815591483      ,   342139.797050764     
   941856.657968831      ,   345728.699367865     
   949991.822150745      ,   349316.075125291     
   958119.302322651      ,   352901.923847465     
   966239.092681413      ,   356486.245060440     
   974351.187435331      ,   360069.038291874     
   982455.580804158      ,   363650.303071101     
   990552.267019117      ,   367230.038929046     
   998641.240322914      ,   370808.245398215     
   1006722.49496976      ,   374384.922012756     
   1014796.02522539      ,   377960.068308366     
   1022861.82536707      ,   381533.683822299     
   1030919.88968365      ,   385105.768093419     
   1038970.21247553      ,   388676.320662139     
   1047012.78805478      ,   392245.341070410     
   1055047.61074507      ,   395812.828861758     
   1063074.67488172      ,   399378.783581237     
   1071093.97481178      ,   402943.204775409     
   1079105.50489401      ,   406506.091992388     
   1087109.25949891      ,   410067.444781800     
   1095105.23300876      ,   413627.262694781     
   1103093.41981769      ,   417185.545283982     
   1111073.81433165      ,   420742.292103557     
   1119046.41096848      ,   424297.502709139     
   1127011.20415794      ,   427851.176657854     
   1134968.18834175      ,   431403.313508316     
   1142917.35797361      ,   434953.912820613     
   1150858.70751926      ,   438502.974156294     
   1158792.23145650      ,   442050.497078388     
   1166717.92427525      ,   445596.481151374     
   1174635.78047756      ,   449140.925941161     
   1182545.79457768      ,   452683.831015124     
   1190447.96110207      ,   456225.195942072     
   1198342.27458948      ,   459765.020292228     
   1206228.72959095      ,   463303.303637243     
   1214107.32066990      ,   466840.045550190     
   1221978.04240212      ,   470375.245605533     
   1229840.88937585      ,   473908.903379118     
   1237695.85619181      ,   477441.018448193     
   1245542.93746326      ,   480971.590391390     
   1253382.12781600      ,   484500.618788689     
   1261213.42188848      ,   488028.103221429     
   1269036.81433181      ,   491554.043272283     
   1276852.29980977      ,   495078.438525262     
   1284659.87299895      ,   498601.288565701     
   1292459.52858870      ,   502122.592980224     
   1300251.26128123      ,   505642.351356760     
   1308035.06579163      ,   509160.563284497     
   1315810.93684794      ,   512677.228353889     
   1323578.86919119      ,   516192.346156637     
   1331338.85757544      ,   519705.916285655     
   1339090.89676784      ,   523217.938335089     
   1346834.98154867      ,   526728.411900249     
   1354571.10671137      ,   530237.336577597     
   1362299.26706263      ,   533744.711964778     
   1370019.45742243      ,   537250.537660544     
   1377731.67262404      ,   540754.813264746     
   1385435.90751414      ,   544257.538378319     
   1393132.15695282      ,   547758.712603221     
   1400820.41581365      ,   551258.335542461     
   1408500.67898375      ,   554756.406800026     
   1416172.94136380      ,   558252.925980862     
   1423837.19786812      ,   561747.892690866     
   1431493.44342472      ,   565241.306536817     
   1439141.67297534      ,   568733.167126372     
   1446781.88147553      ,   572223.474068014     
   1454414.06389466      ,   575712.226970997     
   1462038.21521604      ,   579199.425445353     
   1469654.33043691      ,   582685.069101823     
   1477262.40456855      ,   586169.157551796     
   1484862.43263628      ,   589651.690407294     
   1492454.40967959      ,   593132.667280922     
   1500038.33075213      ,   596612.087785809     
   1507614.19092180      ,   600089.951535539     
   1515181.98527085      ,   603566.258144132     
   1522741.70889586      ,   607041.007225982     
   1530293.35690790      ,   610514.198395777     
   1537836.92443248      ,   613985.831268450     
   1545372.40660972      ,   617455.905459102     
   1552899.79859438      ,   620924.420582975     
   1560419.09555592      ,   624391.376255338     
   1567930.29267858      ,   627856.772091428     
   1575433.38516145      ,   631320.607706376     
   1582928.36821855      ,   634782.882715128     
   1590415.23707889      ,   638243.596732369     
   1597893.98698659      ,   641702.749372415     
   1605364.61320092      ,   645160.340249134     
   1612827.11099639      ,   648616.368975872     
   1620281.47566286      ,   652070.835165317     
   1627727.70250561      ,   655523.738429396     
   1635165.78684542      ,   658975.078379211     
   1642595.72401870      ,   662424.854624892     
   1650017.50937755      ,   665873.066775460     
   1657431.13828991      ,   669319.714438740     
   1664836.60613960      ,   672764.797221230     
   1672233.90832648      ,   676208.314727936     
   1679623.04026656      ,   679650.266562241     
   1687003.99739209      ,   683090.652325784     
   1694376.77515171      ,   686529.471618262     
   1701741.36901054      ,   689966.724037296     
   1709097.77445037      ,   693402.409178264     
   1716445.98696975      ,   696836.526634090     
   1723786.00208415      ,   700269.075995089     
   1731117.81532610      ,   703700.056848758     
   1738441.42224537      ,   707129.468779574     
   1745756.81840913      ,   710557.311368786     
   1753063.99940210      ,   713983.584194165     
   1760362.96082671      ,   717408.286829796     
   1767653.69830337      ,   720831.418845807     
   1774936.20747058      ,   724252.979808125     
   1782210.48398518      ,   727672.969278191     
   1789476.52352255      ,   731091.386812673     
   1796734.32177686      ,   734508.231963170     
   1803983.87446127      ,   737923.504275886     
   1811225.17730822      ,   741337.203291308     
